date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:39	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22663be566-239b%22	https://themewagon.github.io/robots.txt		(from )
09:39:39	54229/54229	---M-Z	200	added ('OK')	text/html	etag:W/%22639aefe6-d3d5%22	https://themewagon.github.io/restoran/	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/index.html	(from )
09:39:40	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/restoran/img/favicon.ico	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/favicon.ico	(from https://themewagon.github.io/restoran/)
09:39:42	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/restoran/)
09:39:42	63666/63666	---MCZ	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/restoran/)
09:39:42	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%22639aefe6-4239%22	https://themewagon.github.io/restoran/lib/animate/animate.min.css	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/lib/animate/animate.min.css	(from https://themewagon.github.io/restoran/)
09:39:43	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639aefe6-b78%22	https://themewagon.github.io/restoran/lib/owlcarousel/assets/owl.carousel.min.css	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/restoran/)
09:39:43	9058/9058	---M-Z	200	added ('OK')	text/css	etag:W/%22639aefe6-2362%22	https://themewagon.github.io/restoran/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://themewagon.github.io/restoran/)
09:39:44	164354/164354	---M-Z	200	added ('OK')	text/css	etag:W/%22639aefe6-28202%22	https://themewagon.github.io/restoran/css/bootstrap.min.css	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/css/bootstrap.min.css	(from https://themewagon.github.io/restoran/)
09:39:44	8741/8741	---M-Z	200	added ('OK')	text/css	etag:W/%22639aefe6-2225%22	https://themewagon.github.io/restoran/css/style.css	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/css/style.css	(from https://themewagon.github.io/restoran/)
09:39:44	54229/54229	---M-Z	200	added ('OK')	text/html	etag:W/%22639aefe6-d3d5%22	https://themewagon.github.io/restoran/index.html	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/index-2.html	(from https://themewagon.github.io/restoran/)
09:39:45	17851/17851	---M-Z	200	added ('OK')	text/html	etag:W/%22639aefe6-45bb%22	https://themewagon.github.io/restoran/about.html	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/about.html	(from https://themewagon.github.io/restoran/)
09:39:45	14744/14744	---M-Z	200	added ('OK')	text/html	etag:W/%22639aefe6-3998%22	https://themewagon.github.io/restoran/service.html	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/service.html	(from https://themewagon.github.io/restoran/)
09:39:45	35291/35291	---M-Z	200	added ('OK')	text/html	etag:W/%22639aefe6-89db%22	https://themewagon.github.io/restoran/menu.html	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/menu.html	(from https://themewagon.github.io/restoran/)
09:39:45	14584/14584	---M-Z	200	added ('OK')	text/html	etag:W/%22639aefe6-38f8%22	https://themewagon.github.io/restoran/booking.html	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/booking.html	(from https://themewagon.github.io/restoran/)
09:39:46	18503/18503	---M-Z	200	added ('OK')	text/html	etag:W/%22639aefe6-4847%22	https://themewagon.github.io/restoran/team.html	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/team.html	(from https://themewagon.github.io/restoran/)
09:39:46	13525/13525	---M-Z	200	added ('OK')	text/html	etag:W/%22639aefe6-34d5%22	https://themewagon.github.io/restoran/testimonial.html	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/testimonial.html	(from https://themewagon.github.io/restoran/)
09:39:46	14419/14419	---M-Z	200	added ('OK')	text/html	etag:W/%22639aefe6-3853%22	https://themewagon.github.io/restoran/contact.html	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/contact.html	(from https://themewagon.github.io/restoran/)
09:39:47	405088/405088	---M--	200	added ('OK')	image/png	etag:%22639aefe6-62e60%22	https://themewagon.github.io/restoran/img/hero.png	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/hero.png	(from https://themewagon.github.io/restoran/)
09:39:47	47779/47779	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-baa3%22	https://themewagon.github.io/restoran/img/about-1.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/about-1.jpg	(from https://themewagon.github.io/restoran/)
09:39:47	47204/47204	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-b864%22	https://themewagon.github.io/restoran/img/about-2.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/about-2.jpg	(from https://themewagon.github.io/restoran/)
09:39:47	37856/37856	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-93e0%22	https://themewagon.github.io/restoran/img/about-3.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/about-3.jpg	(from https://themewagon.github.io/restoran/)
09:39:48	64116/64116	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-fa74%22	https://themewagon.github.io/restoran/img/about-4.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/about-4.jpg	(from https://themewagon.github.io/restoran/)
09:39:48	3580/3580	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-dfc%22	https://themewagon.github.io/restoran/img/menu-1.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/menu-1.jpg	(from https://themewagon.github.io/restoran/)
09:39:48	3601/3601	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-e11%22	https://themewagon.github.io/restoran/img/menu-2.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/menu-2.jpg	(from https://themewagon.github.io/restoran/)
09:39:48	4081/4081	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-ff1%22	https://themewagon.github.io/restoran/img/menu-3.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/menu-3.jpg	(from https://themewagon.github.io/restoran/)
09:39:49	3645/3645	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-e3d%22	https://themewagon.github.io/restoran/img/menu-4.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/menu-4.jpg	(from https://themewagon.github.io/restoran/)
09:39:49	3626/3626	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-e2a%22	https://themewagon.github.io/restoran/img/menu-5.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/menu-5.jpg	(from https://themewagon.github.io/restoran/)
09:39:49	3470/3470	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-d8e%22	https://themewagon.github.io/restoran/img/menu-6.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/menu-6.jpg	(from https://themewagon.github.io/restoran/)
09:39:49	3853/3853	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-f0d%22	https://themewagon.github.io/restoran/img/menu-7.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/menu-7.jpg	(from https://themewagon.github.io/restoran/)
09:39:50	3303/3303	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-ce7%22	https://themewagon.github.io/restoran/img/menu-8.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/menu-8.jpg	(from https://themewagon.github.io/restoran/)
09:39:50	14477/14477	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-388d%22	https://themewagon.github.io/restoran/img/team-1.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/team-1.jpg	(from https://themewagon.github.io/restoran/)
09:39:51	18361/18361	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-47b9%22	https://themewagon.github.io/restoran/img/team-2.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/team-2.jpg	(from https://themewagon.github.io/restoran/)
09:39:51	28203/28203	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-6e2b%22	https://themewagon.github.io/restoran/img/team-3.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/team-3.jpg	(from https://themewagon.github.io/restoran/)
09:39:51	29483/29483	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-732b%22	https://themewagon.github.io/restoran/img/team-4.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/team-4.jpg	(from https://themewagon.github.io/restoran/)
09:39:51	3451/3451	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-d7b%22	https://themewagon.github.io/restoran/img/testimonial-1.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/testimonial-1.jpg	(from https://themewagon.github.io/restoran/)
09:39:52	3517/3517	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-dbd%22	https://themewagon.github.io/restoran/img/testimonial-2.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/testimonial-2.jpg	(from https://themewagon.github.io/restoran/)
09:39:52	3066/3066	---M--	200	added ('OK')	image/jpeg	etag:%22639aefe6-bfa%22	https://themewagon.github.io/restoran/img/testimonial-3.jpg	E:/KK%20SMART%20COM/CLIENTS/HUBLOT/LE%20HUBLOT%20WEB/LE%20HUBLOT%20WEB/themewagon.github.io/restoran/img/testimonial-3.jpg	(from https://themewagon.github.io/restoran/)
